,szoveg,cimke
0,love podcasts music app love favorite sun repeat recommendation give base listening like,positive
1,glitching lately super reliable easy use,positive
2,easy use fast,positive
3,spotify best station absolutely love make playlist awesome thank,positive
4,spotify become go music platform really appreciate work go app get premium spent k minute last year listen music one genuine feature request block podcasts remove suggestion home screen love guy,positive
5,awesome experience wish discount veteran love spotify structure ear need music,positive
6,pretty good honest far one best streaming platform use far especially come playlist discover new artist relate music taste go beyond expectation could give star,positive
7,good app would recommend download,positive
8,good type song choose song artist want listen love,positive
9,amaze litrally sleep without listen sportify listen favourite playlist amazing podcast like dear teenager horror time podcast app also consume less battery data,positive
10,good music stop thank tnt spotify,positive
11,amazing selection flawless listening experience,positive
12,download hear joe rogan podcasts app image sound quality excellent neal young bye felicia,positive
13,love spotify best app listen music call,positive
14,always support apps protect free speech may agree say always support right say,positive
15,well really like app app clean work listen music free,positive
16,best app love app really nice app seriously love,positive
17,nice app however know phone randomly stop play music pretty much refresh app different app game spotify music playing really annoying leave go continuously back forth app app get music continue play,positive
18,song clarity superb good app hear journal music,positive
19,tge service us good bit annoy hear add podcasts despite use premium account,positive
20,app amazingly good find almost song skip hour unless pay premium bad problem,positive
21,love commercial,positive
22,great app pay service problem people need pay work well,positive
23,great app interface stand free speech,positive
24,well music entertaining app,positive
25,always something good rarely ad,positive
26,easy use easy find song never issue,positive
27,good app listen simple hollywood bollywood music come remix lofi song find,positive
28,let listen pick playlist song anymore know,positive
29,good music thing yes ad also spotify premium,positive
30,good listening experience like tune lyric content useful sing along wrong lyric year meerkat little annoying time price freedom,positive
31,fantastic everyone say best spotify delivers,positive
32,favorite app well pandora youtube music,positive
33,easy stable interface lot artist,positive
34,really enjoy use app listen many type song specialy korean english lyric respective language request community provide lyric english language also,positive
35,like kind little bit doubt like app could still listen music even though turn phone app still listen music like spotify,positive
36,spotify hand best streaming service yes say good anything include netflix hulu disney plus stuff like spotify premium best thing evr spent money thank spotify,positive
37,fantastic app well worth cost go ad free,positive
38,like one issue want eng subtitle korean chinese song lyric eng subtitle available samsung phone please thankful clear issue,positive
39,pretty great notice anything wrong mobile version would great build equalizer pc already one mobile,positive
40,good except excessive ad play artist song,positive
41,never use spotify get premium support free speech cancel cancel culture vaccinated person encourage stand rogen,positive
42,enjoy music love teenage year lot great choice great sound love,positive
43,app fantastic one thing noo sr kalyanamadapam song bro rather everything fine,positive
44,love build play list play line would without,positive
45,love app month use add also could pick one song listen listen entire playlist though like make playlist favorite song pick different type playlist,positive
46,think spotify high quality app look high quality music app one like song make playlist enjoy p follow spotify,positive
47,love organise play list listen car shower beach even iron,positive
48,great app long buy premium would recommend get family plan group people one star review people complain free spotify never get ad premium annoy remove everyone download music like year easily download able pay premium best music app,positive
49,app nice song,positive
50,good app many ad year listen song get ad go much,positive
51,great app good music quality,positive
52,amaze sound love app,positive
53,really enjoy app definitely go carry free trial month worth every penny,positive
54,best app ever keep option download music please keep option public come,positive
55,star report problem lyric fix next update,positive
56,wonderful music quality amazing service sometimes bit slow usually pretty fast definitely download spotify wonderful crazy thing ad,positive
57,great music app one best indian song recommendation use year premium subscription spotify premium experience great spotify please launch hifi audio also know sound quality important us,positive
58,easy nice listening,positive
59,great radio mainly listen old time radio detective show wow realy love,positive
60,hey spotify today go guy app go playlist press one song play snippet song never happen choose song want skip part hope guy fix first time happen,positive
61,great please bring swipe gesture ios version android please edit since last two week app slow lot switch alternative fix unbelievably slow problem device internet spotify slow,positive
62,like app lot app contain lot thing like playlist podcasts,positive
63,give skip huge catalog go artist select song,positive
64,fast amaze,positive
65,really good app sometimes freezes close bother much would nice though,positive
66,could ask good music app everything search come instantly even hard find live version song premium subscriber till turn light thanks spotify,positive
67,easy use enormous range music,positive
68,love spotify radio much,positive
69,thank everything free app best music app ever cap,positive
70,music stream service use,positive
71,app good use app phone change order song playlist use pc work searched net task method work app interfaced change method old rest ad less song always ad,positive
72,love app mostly time sometimes glitches play song segment song sometimes two three song play time figure happen part really like app,positive
73,best music app use recomend every one friend,positive
74,know lot apps spotify happen one recently really really annoy phone go every single day spotify fail get payment,positive
75,large variety music satisfy every occasion mood,positive
76,please make available prepaid payment easy credit card especially student like super good work fine,positive
77,best music app use year great ad kind problem really bother hate skips per hour app still great music look country rap stuff love,positive
78,hello notice app whenever pause try play play button recently play go,positive
